date,code,name,exchange,period,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,source
2025-10-24,000727,冠捷科技,SZ,week,qfq,2.550,2.710,2.550,2.660,2.540,0.120,4.72,6.30,3548248,354824800,93777.74,937777400.00,7.84,tencent_newfqkline
2025-10-31,000727,冠捷科技,SZ,week,qfq,2.690,2.770,2.590,2.600,2.660,-0.060,-2.26,6.77,4346751,434675100,115295.12,1152951200.00,9.59,tencent_newfqkline
2025-11-07,000727,冠捷科技,SZ,week,qfq,2.600,2.730,2.580,2.680,2.600,0.080,3.08,5.77,4257416,425741600,113402.60,1134026000.00,9.39,tencent_newfqkline
2025-11-14,000727,冠捷科技,SZ,week,qfq,2.680,2.780,2.670,2.740,2.680,0.060,2.24,4.10,3937489,393748900,107246.36,1072463600.00,8.68,tencent_newfqkline
2025-11-21,000727,冠捷科技,SZ,week,qfq,2.730,2.820,2.540,2.540,2.740,-0.200,-7.30,10.22,4305892,430589200,116059.92,1160599200.00,9.51,tencent_newfqkline
2025-11-28,000727,冠捷科技,SZ,week,qfq,2.540,2.720,2.530,2.630,2.540,0.090,3.54,7.48,3641860,364186000,95958.99,959589900.00,8.04,tencent_newfqkline
2025-12-05,000727,冠捷科技,SZ,week,qfq,2.630,2.920,2.620,2.860,2.630,0.230,8.75,11.41,13638955,1363895500,385857.30,3858573000.00,30.10,tencent_newfqkline
2025-12-12,000727,冠捷科技,SZ,week,qfq,2.870,2.920,2.640,2.650,2.860,-0.210,-7.34,9.79,8312355,831235500,233142.26,2331422600.00,18.34,tencent_newfqkline
2025-12-19,000727,冠捷科技,SZ,week,qfq,2.620,2.670,2.520,2.610,2.650,-0.040,-1.51,5.66,3516103,351610300,90823.53,908235300.00,7.77,tencent_newfqkline
2025-12-26,000727,冠捷科技,SZ,week,qfq,2.610,2.640,2.560,2.610,2.610,0.000,0.00,3.07,2967181,296718100,76967.15,769671500.00,6.56,tencent_newfqkline
2025-12-31,000727,冠捷科技,SZ,week,qfq,2.610,2.610,2.520,2.540,2.610,-0.070,-2.68,3.45,1943577,194357700,49889.16,498891600.00,4.29,tencent_newfqkline
2026-01-09,000727,冠捷科技,SZ,week,qfq,2.550,2.670,2.540,2.640,2.540,0.100,3.94,5.12,4359366,435936600,114067.89,1140678900.00,9.62,tencent_newfqkline
2026-01-16,000727,冠捷科技,SZ,week,qfq,2.640,2.770,2.580,2.590,2.640,-0.050,-1.89,7.20,5803540,580354000,155443.60,1554436000.00,12.80,tencent_newfqkline
2026-01-23,000727,冠捷科技,SZ,week,qfq,2.580,2.730,2.560,2.730,2.590,0.140,5.41,6.56,4744678,474467800,125447.95,1254479500.00,10.47,tencent_newfqkline
2026-01-30,000727,冠捷科技,SZ,week,qfq,2.730,2.740,2.540,2.550,2.730,-0.180,-6.59,7.33,4896124,489612400,128787.28,1287872800.00,10.80,tencent_newfqkline
2026-02-06,000727,冠捷科技,SZ,week,qfq,2.530,2.580,2.480,2.530,2.550,-0.020,-0.78,3.92,3209686,320968600,81620.18,816201800.00,7.09,tencent_newfqkline
2026-02-13,000727,冠捷科技,SZ,week,qfq,2.560,2.660,2.550,2.550,2.530,0.020,0.79,4.35,3230299,323029900,84111.17,841111700.00,7.13,tencent_newfqkline
2026-02-27,000727,冠捷科技,SZ,week,qfq,2.580,2.670,2.570,2.650,2.550,0.100,3.92,3.92,2581812,258181200,68048.05,680480500.00,5.70,tencent_newfqkline
2026-03-06,000727,冠捷科技,SZ,week,qfq,2.620,2.730,2.480,2.700,2.650,0.050,1.89,9.43,8555523,855552300,225463.73,2254637300.00,18.88,tencent_newfqkline
2026-03-13,000727,冠捷科技,SZ,week,qfq,2.700,2.820,2.660,2.760,2.700,0.060,2.22,5.93,7677245,767724500,210500.61,2105006100.00,16.95,tencent_newfqkline
2026-03-20,000727,冠捷科技,SZ,week,qfq,2.770,2.850,2.680,2.700,2.760,-0.060,-2.17,6.16,6443519,644351900,178154.97,1781549700.00,14.22,tencent_newfqkline
2026-03-27,000727,冠捷科技,SZ,week,qfq,2.620,2.790,2.550,2.680,2.700,-0.020,-0.74,8.89,5465397,546539700,145889.29,1458892900.00,12.07,tencent_newfqkline
2026-04-03,000727,冠捷科技,SZ,week,qfq,2.640,2.770,2.520,2.520,2.680,-0.160,-5.97,9.33,5018688,501868800,131304.71,1313047100.00,11.08,tencent_newfqkline
2026-04-10,000727,冠捷科技,SZ,week,qfq,2.530,2.880,2.530,2.770,2.520,0.250,9.92,13.89,7409732,740973200,206284.12,2062841200.00,16.36,tencent_newfqkline
2026-04-17,000727,冠捷科技,SZ,week,qfq,2.770,2.780,2.690,2.720,2.770,-0.050,-1.81,3.25,4989502,498950200,136450.02,1364500200.00,11.01,tencent_newfqkline
2026-04-24,000727,冠捷科技,SZ,week,qfq,2.720,2.810,2.580,2.590,2.720,-0.130,-4.78,8.46,5395559,539555900,145501.87,1455018700.00,11.92,tencent_newfqkline
2026-04-30,000727,冠捷科技,SZ,week,qfq,2.590,2.700,2.580,2.650,2.590,0.060,2.32,4.63,3567462,356746200,94677.95,946779500.00,7.88,tencent_newfqkline
2026-05-08,000727,冠捷科技,SZ,week,qfq,2.680,3.010,2.680,2.930,2.650,0.280,10.57,12.45,8008571,800857100,230612.20,2306122000.00,17.68,tencent_newfqkline
2026-05-15,000727,冠捷科技,SZ,week,qfq,2.930,2.950,2.700,2.730,2.930,-0.200,-6.83,8.53,6658163,665816300,188443.91,1884439100.00,14.70,tencent_newfqkline
2026-05-21,000727,冠捷科技,SZ,week,qfq,2.710,3.100,2.670,2.830,2.730,0.100,3.66,15.75,7245699,724569900,208637.57,2086375700.00,15.99,tencent_newfqkline
