date,code,name,exchange,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,ma5,ma10,ma20,ma60,vol_ma5_lot,vol_ma10_lot,vol_ma20_lot,high_20,low_20,high_60,low_60,bar_status,quote_time,source
2025-06-23,605006,山东玻纤,SH,qfq,6.370,6.630,6.300,6.590,6.460,0.130,2.01,5.11,133274,13327400,8733.13,87331300.00,2.22,6.528,6.646,6.642,6.260,116961,181723,248899,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-24,605006,山东玻纤,SH,qfq,6.560,6.790,6.560,6.740,6.590,0.150,2.28,3.49,199613,19961300,13354.44,133544400.00,3.33,6.548,6.630,6.670,6.268,133444,161711,256497,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-25,605006,山东玻纤,SH,qfq,6.700,6.780,6.630,6.730,6.740,-0.010,-0.15,2.23,181950,18195000,12209.14,122091400.00,3.03,6.590,6.623,6.697,6.272,147876,155525,263443,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-26,605006,山东玻纤,SH,qfq,6.740,6.830,6.680,6.680,6.730,-0.050,-0.74,2.23,143447,14344700,9671.05,96710500.00,2.39,6.640,6.605,6.725,6.273,154361,148898,268541,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-27,605006,山东玻纤,SH,qfq,6.710,6.770,6.680,6.700,6.680,0.020,0.30,1.35,111241,11124100,7480.86,74808600.00,1.85,6.688,6.618,6.748,6.281,153905,137336,271770,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-30,605006,山东玻纤,SH,qfq,6.750,6.750,6.660,6.720,6.700,0.020,0.30,1.34,113347,11334700,7594.02,75940200.00,1.89,6.714,6.621,6.780,6.291,149920,133440,275060,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-07-01,605006,山东玻纤,SH,qfq,6.690,7.390,6.680,7.390,6.720,0.670,9.97,10.57,488961,48896100,34606.91,346069100.00,8.15,6.844,6.696,6.814,6.311,207789,170616,284377,7.980,6.300,7.980,4.880,closed,,tencent_newfqkline
2025-07-02,605006,山东玻纤,SH,qfq,7.600,7.980,7.420,7.560,7.390,0.170,2.30,7.58,905820,90582000,69418.95,694189500.00,15.10,7.010,6.800,6.822,6.335,352563,250220,307029,7.980,6.300,7.980,4.880,closed,,tencent_newfqkline
2025-07-03,605006,山东玻纤,SH,qfq,7.540,7.960,7.260,7.780,7.560,0.220,2.91,9.26,701532,70153200,52950.45,529504500.00,11.69,7.230,6.935,6.861,6.361,464180,309271,295632,7.980,6.300,7.980,4.880,closed,,tencent_newfqkline
2025-07-04,605006,山东玻纤,SH,qfq,7.630,8.440,7.630,7.920,7.780,0.140,1.80,10.41,795457,79545700,63900.42,639004200.00,13.26,7.474,7.081,6.896,6.399,601023,377464,300000,8.440,6.300,8.440,4.880,closed,,tencent_newfqkline
2025-07-07,605006,山东玻纤,SH,qfq,7.660,8.290,7.660,7.810,7.920,-0.110,-1.39,7.95,518622,51862200,41158.16,411581600.00,8.64,7.692,7.203,6.925,6.441,682078,415999,298861,8.440,6.300,8.440,4.880,closed,,tencent_newfqkline
2025-07-08,605006,山东玻纤,SH,qfq,7.820,8.590,7.670,8.590,7.810,0.780,9.99,11.78,395943,39594300,32542.31,325423100.00,6.60,7.932,7.388,7.009,6.493,663475,435632,298672,8.590,6.300,8.590,5.530,closed,,tencent_newfqkline
2025-07-09,605006,山东玻纤,SH,qfq,9.440,9.450,8.490,8.680,8.590,0.090,1.05,11.18,1063698,106369800,94407.23,944072300.00,17.73,8.156,7.583,7.103,6.544,695050,523807,339666,9.450,6.300,9.450,5.600,closed,,tencent_newfqkline
